Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Trp-Dbl,Awards
71.0,Zaid Abdul-Aziz,27.0,HOU,C,79.0,,2459.0,4.253164556962025,9.265822784810126,0.459,2.4430379746835444,3.037974683544304,0.804,259.0,664.0,923.0,166.0,80.0,104.0,227.0,10.949367088607595,0.0,
72.0,Jack Marin,29.0,2TM,SF,74.0,,1782.0,4.797297297297297,9.58108108108108,0.501,2.0675675675675675,2.418918918918919,0.855,59.0,169.0,228.0,167.0,46.0,26.0,213.0,11.662162162162161,0.0,
73.0,Don Chaney,27.0,BOS,SG,81.0,,2258.0,4.296296296296297,9.25925925925926,0.464,1.8395061728395061,2.2222222222222223,0.828,210.0,168.0,378.0,176.0,83.0,62.0,247.0,10.432098765432098,0.0,
74.0,Nate Thurmond,32.0,GSW,C,62.0,,2463.0,4.967741935483871,11.193548387096774,0.444,3.0806451612903225,4.629032258064516,0.666,249.0,629.0,878.0,165.0,41.0,179.0,179.0,13.016129032258064,0.0,"MVP-8,AS"
75.0,Butch Beard,26.0,GSW,PG,79.0,,2134.0,4.0,7.810126582278481,0.512,2.189873417721519,2.962025316455696,0.739,136.0,253.0,389.0,300.0,105.0,9.0,241.0,10.189873417721518,0.0,
76.0,Leroy Ellis,33.0,PHI,C,81.0,81.0,2831.0,4.0246913580246915,8.91358024691358,0.452,1.8148148148148149,2.419753086419753,0.75,292.0,598.0,890.0,189.0,86.0,87.0,224.0,9.864197530864198,0.0,
77.0,Larry Steele,24.0,POR,SG,81.0,,2648.0,4.012345679012346,8.395061728395062,0.478,1.6666666666666667,2.111111111111111,0.789,89.0,221.0,310.0,323.0,217.0,32.0,295.0,9.691358024691358,0.0,
78.0,Mike Bantom,22.0,PHO,PF,76.0,,1982.0,4.131578947368421,10.355263157894736,0.399,1.855263157894737,2.8026315789473686,0.662,172.0,347.0,519.0,163.0,50.0,47.0,289.0,10.118421052631579,0.0,
79.0,Dick Gibbs,25.0,SEA,SF,71.0,,1528.0,4.253521126760563,9.859154929577464,0.431,2.2816901408450705,2.8309859154929575,0.806,91.0,132.0,223.0,79.0,39.0,18.0,195.0,10.788732394366198,0.0,
81.0,Don Adams,26.0,DET,SF,74.0,,2298.0,4.094594594594595,10.027027027027026,0.408,2.0675675675675675,2.7162162162162162,0.761,133.0,315.0,448.0,141.0,110.0,12.0,242.0,10.256756756756756,0.0,
82.0,Cliff Meely,26.0,HOU,PF,77.0,,1754.0,4.285714285714286,10.03896103896104,0.427,1.1688311688311688,1.8181818181818181,0.643,103.0,336.0,439.0,124.0,53.0,77.0,234.0,9.74025974025974,0.0,
83.0,Clifford Ray,25.0,CHI,C,80.0,72.0,2632.0,3.9125,7.65,0.511,1.5125,2.4875,0.608,285.0,692.0,977.0,246.0,58.0,173.0,281.0,9.3375,0.0,MVP-11
85.0,Jon McGlocklin,30.0,MIL,SG,79.0,,1910.0,4.1645569620253164,8.772151898734178,0.475,0.9113924050632911,1.0126582278481013,0.9,33.0,106.0,139.0,241.0,43.0,7.0,128.0,9.240506329113924,0.0,
86.0,Curtis Perry,25.0,MIL,PF,81.0,,2386.0,4.012345679012346,9.0,0.446,0.9629629629629629,1.654320987654321,0.582,242.0,461.0,703.0,183.0,104.0,97.0,301.0,8.987654320987655,0.0,
87.0,Jim Washington,30.0,ATL,PF,73.0,,2519.0,4.068493150684931,8.383561643835616,0.485,1.8356164383561644,2.684931506849315,0.684,207.0,528.0,735.0,156.0,49.0,74.0,249.0,9.972602739726028,0.0,
88.0,Larry Jones,31.0,PHI,PG,72.0,60.0,1876.0,3.6527777777777777,8.63888888888889,0.423,2.736111111111111,3.263888888888889,0.838,71.0,113.0,184.0,230.0,85.0,18.0,116.0,10.041666666666666,0.0,
89.0,John Brown,22.0,ATL,SF,77.0,,1715.0,3.5974025974025974,8.207792207792208,0.438,2.116883116883117,2.8181818181818183,0.751,177.0,264.0,441.0,114.0,29.0,16.0,239.0,9.311688311688311,0.0,
90.0,John Block,29.0,KCO,PF,82.0,,1777.0,3.3536585365853657,7.7317073170731705,0.434,2.0,2.5121951219512195,0.796,129.0,260.0,389.0,94.0,68.0,35.0,229.0,8.707317073170731,0.0,
91.0,Freddie Boyd,23.0,PHI,PG,75.0,26.0,1818.0,3.8133333333333335,9.493333333333334,0.402,1.88,2.6,0.723,16.0,77.0,93.0,249.0,60.0,9.0,173.0,9.506666666666666,0.0,
94.0,John Mengelt,24.0,DET,SG,77.0,,1555.0,3.2337662337662336,7.246753246753247,0.446,2.3636363636363638,2.9740259740259742,0.795,40.0,166.0,206.0,148.0,68.0,7.0,164.0,8.831168831168831,0.0,
95.0,Bob Weiss,31.0,CHI,SG,79.0,11.0,1708.0,3.329113924050633,7.139240506329114,0.466,1.7974683544303798,2.151898734177215,0.835,32.0,71.0,103.0,303.0,104.0,12.0,156.0,8.455696202531646,0.0,
96.0,Dean Meminger,25.0,NYK,SG,78.0,50.0,2079.0,3.5128205128205128,6.910256410256411,0.508,1.3205128205128205,2.051282051282051,0.644,125.0,156.0,281.0,162.0,62.0,8.0,161.0,8.346153846153847,0.0,
97.0,Corky Calhoun,23.0,PHO,SF,77.0,,2207.0,3.4805194805194803,7.545454545454546,0.461,1.2727272727272727,1.6753246753246753,0.76,115.0,292.0,407.0,135.0,71.0,30.0,253.0,8.233766233766234,0.0,
100.0,Ed Ratleff,23.0,HOU,SF,81.0,,1773.0,3.1358024691358026,7.222222222222222,0.434,1.271604938271605,1.5925925925925926,0.798,93.0,193.0,286.0,181.0,90.0,27.0,182.0,7.54320987654321,1.0,
102.0,Steve Patterson,25.0,CLE,C,76.0,,1910.0,3.4473684210526314,7.881578947368421,0.437,0.9078947368421053,1.4736842105263157,0.616,223.0,396.0,619.0,165.0,48.0,58.0,193.0,7.802631578947368,1.0,
106.0,Chris Ford,25.0,DET,SG,82.0,,2059.0,3.2195121951219514,7.2560975609756095,0.444,0.6951219512195121,0.9390243902439024,0.74,109.0,195.0,304.0,279.0,148.0,14.0,159.0,7.134146341463414,0.0,
108.0,Jim Cleamons,24.0,CLE,PG,81.0,,1642.0,2.9135802469135803,6.728395061728395,0.433,1.1481481481481481,1.6419753086419753,0.699,63.0,167.0,230.0,227.0,61.0,17.0,152.0,6.9753086419753085,0.0,
109.0,Bernie Fryer,24.0,POR,SG,80.0,,1674.0,2.825,6.1375,0.46,1.3375,1.6875,0.793,60.0,99.0,159.0,279.0,92.0,10.0,187.0,6.9875,0.0,
110.0,Toby Kimball,31.0,PHI,PF,75.0,1.0,1592.0,2.88,6.08,0.474,1.6933333333333334,2.466666666666667,0.686,185.0,367.0,552.0,73.0,49.0,23.0,199.0,7.453333333333333,0.0,
112.0,Bill Bridges,34.0,LAL,PF,65.0,,1812.0,3.3230769230769233,7.892307692307693,0.421,1.7846153846153847,2.523076923076923,0.707,193.0,306.0,499.0,148.0,58.0,31.0,219.0,8.430769230769231,0.0,
113.0,Kenny McIntosh,25.0,SEA,SF,69.0,,2056.0,3.2318840579710146,8.304347826086957,0.389,0.9420289855072463,1.5507246376811594,0.607,111.0,250.0,361.0,94.0,52.0,29.0,178.0,7.405797101449275,0.0,
114.0,John Gianelli,23.0,NYK,C,70.0,41.0,1423.0,2.9714285714285715,6.2,0.479,1.3142857142857143,1.7285714285714286,0.76,110.0,233.0,343.0,77.0,23.0,42.0,159.0,7.257142857142857,0.0,
115.0,Jim Brewer,22.0,CLE,PF,82.0,,1862.0,2.5609756097560976,6.682926829268292,0.383,0.975609756097561,1.5,0.65,207.0,317.0,524.0,149.0,46.0,35.0,192.0,6.097560975609756,0.0,
117.0,Slick Watts,22.0,SEA,PG,62.0,,1424.0,3.193548387096774,8.225806451612904,0.388,1.6129032258064515,2.5,0.645,72.0,110.0,182.0,351.0,115.0,13.0,207.0,8.0,0.0,ROY-3
118.0,Ollie Johnson,24.0,POR,SF,79.0,,1718.0,2.6455696202531644,5.493670886075949,0.482,0.9746835443037974,1.1898734177215189,0.819,116.0,208.0,324.0,167.0,60.0,30.0,179.0,6.265822784810126,0.0,
121.0,Jerry Lucas,33.0,NYK,C,73.0,14.0,1627.0,2.6575342465753424,5.7534246575342465,0.462,0.9178082191780822,1.3150684931506849,0.698,62.0,312.0,374.0,230.0,28.0,24.0,134.0,6.232876712328767,0.0,
128.0,Matt Guokas,29.0,3TM,SG,75.0,,1871.0,2.6,5.28,0.492,0.52,0.8,0.65,31.0,90.0,121.0,238.0,54.0,21.0,150.0,5.72,0.0,
