Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
75.0,Spencer Haywood,29.0,2TM,PF,68.0,18.0,2361.0,11.3,22.9,0.494,4.4,5.5,0.791,3.3,6.9,10.1,2.4,0.8,1.6,3.8,4.5,27.0,103.0,106.0,
76.0,Jo Jo White,32.0,2TM,PG,76.0,,2338.0,7.9,17.8,0.444,2.7,3.1,0.88,0.8,3.1,3.9,6.8,1.6,0.1,4.2,3.4,18.5,94.0,107.0,
77.0,Bobby Jones,27.0,PHI,PF,80.0,78.0,2304.0,7.4,13.7,0.537,4.1,5.4,0.755,3.9,6.5,10.4,3.9,2.1,1.9,3.2,4.8,18.8,111.0,99.0,
78.0,Phil Smith,26.0,GSW,SG,59.0,,2288.0,10.0,20.1,0.501,4.0,5.2,0.761,1.0,3.4,4.4,5.4,2.1,0.5,3.5,3.3,24.1,105.0,104.0,
79.0,Gus Williams,25.0,SEA,PG,76.0,,2266.0,12.4,25.1,0.495,5.0,6.5,0.775,2.3,2.7,5.0,6.3,3.2,0.6,3.9,3.3,29.9,108.0,100.0,
80.0,Eddie Jordan,24.0,NJN,PG,82.0,,2260.0,7.8,18.6,0.418,4.1,5.3,0.777,1.4,2.7,4.2,7.1,3.9,0.8,4.7,4.1,19.7,93.0,100.0,
81.0,Robert Reid,23.0,HOU,SF,82.0,,2259.0,7.8,15.9,0.492,2.7,3.8,0.704,2.6,7.2,9.9,4.7,1.5,1.0,2.7,6.2,18.3,107.0,106.0,
82.0,Bob McAdoo,27.0,2TM,C,60.0,32.0,2231.0,12.2,23.0,0.529,6.0,9.2,0.656,2.7,8.0,10.6,3.4,1.5,1.4,4.4,3.9,30.4,105.0,104.0,
83.0,Leon Douglas,24.0,DET,C,78.0,,2215.0,6.9,14.1,0.49,4.2,6.6,0.634,5.0,8.4,13.4,1.5,0.8,1.1,3.8,6.4,18.0,100.0,105.0,
84.0,Steve Hawes,28.0,ATL,PF,81.0,,2205.0,7.9,16.1,0.492,2.3,2.8,0.818,4.0,8.5,12.6,3.9,1.7,1.0,3.1,5.6,18.1,107.0,102.0,
85.0,Tom Boswell,25.0,DEN,PF,79.0,,2201.0,6.6,12.4,0.532,4.1,5.8,0.697,5.1,6.0,11.1,5.0,1.0,1.1,3.8,5.4,17.3,110.0,104.0,
86.0,Bill Robinzine,26.0,KCK,PF,82.0,,2179.0,9.4,17.2,0.548,3.7,5.1,0.732,4.5,8.6,13.1,2.1,2.2,0.3,3.7,7.5,22.5,108.0,99.0,
87.0,James Silas,29.0,SAS,PG,79.0,,2171.0,9.3,18.4,0.505,6.7,8.0,0.831,0.7,3.0,3.7,5.5,1.5,0.4,4.0,4.3,25.3,109.0,106.0,
88.0,Caldwell Jones,28.0,PHI,C,78.0,75.0,2171.0,6.3,13.2,0.474,2.5,3.4,0.747,3.7,11.8,15.5,3.1,0.8,3.3,3.2,6.3,15.0,99.0,97.0,
89.0,Lonnie Shelton,23.0,SEA,PF,76.0,,2158.0,9.6,18.5,0.519,2.8,4.1,0.693,3.9,6.2,10.1,2.4,1.6,1.6,4.0,5.7,22.0,102.0,100.0,
90.0,Mychal Thompson,24.0,POR,C,73.0,,2144.0,10.0,20.3,0.49,3.3,5.8,0.572,4.3,8.8,13.1,3.8,1.5,2.9,4.4,5.8,23.2,99.0,100.0,
91.0,Kent Benson,24.0,MIL,C,82.0,,2132.0,8.7,16.9,0.518,3.8,5.2,0.735,4.0,8.4,12.3,4.3,1.9,1.7,3.3,5.9,21.3,109.0,101.0,
92.0,Gail Goodrich,35.0,NOJ,SG,74.0,,2130.0,7.9,17.6,0.449,3.6,4.2,0.853,1.4,2.4,3.8,7.4,1.9,0.3,3.8,3.7,19.5,100.0,108.0,
93.0,Billy Paultz,30.0,SAS,C,79.0,,2122.0,8.2,15.5,0.526,2.3,4.0,0.588,3.5,9.3,12.8,3.6,0.7,2.6,3.2,4.2,18.7,104.0,101.0,
94.0,Mike Gale,28.0,SAS,SG,82.0,,2121.0,5.8,12.5,0.464,1.9,2.2,0.843,0.8,3.0,3.8,7.7,3.1,0.8,3.1,3.9,13.5,100.0,102.0,
95.0,Billy Knight,26.0,2TM,SF,79.0,,2095.0,9.5,18.1,0.528,5.4,6.4,0.841,2.0,5.5,7.5,3.3,1.4,0.2,4.9,3.5,24.5,104.0,107.0,
96.0,Tom Henderson,27.0,WSB,PG,70.0,,2081.0,6.5,13.9,0.466,3.4,4.2,0.8,1.1,2.4,3.5,9.1,1.9,0.2,3.2,2.7,16.3,107.0,105.0,
97.0,George Johnson,30.0,NJN,C,78.0,,2058.0,4.4,10.3,0.427,2.2,2.9,0.761,4.3,8.8,13.1,1.9,1.4,5.4,3.8,6.7,11.0,88.0,97.0,
