Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
12.0,Julius Erving,28.0,PHI,SF,78.0,76.0,35.9,9.2,18.7,0.491,4.8,6.4,0.745,2.5,4.7,7.2,4.6,1.7,1.3,4.0,2.7,23.1,AS
13.0,John Drew,24.0,ATL,SF,79.0,,30.5,8.2,17.4,0.473,6.3,8.6,0.731,2.8,3.8,6.6,1.5,1.6,0.2,2.7,4.2,22.7,
15.0,George McGinnis,28.0,DEN,PF,76.0,,33.6,7.9,16.8,0.474,6.7,10.1,0.665,3.4,8.0,11.4,3.7,1.7,0.7,4.6,4.2,22.6,AS
16.0,John Williamson,27.0,NJN,SG,74.0,,33.1,8.6,18.5,0.465,5.0,5.9,0.854,0.7,1.9,2.6,3.4,1.2,0.2,3.1,2.9,22.2,
17.0,Larry Kenon,26.0,SAS,PF,81.0,,36.4,9.2,18.3,0.504,3.6,4.3,0.845,3.2,6.5,9.8,4.1,1.9,0.2,3.7,2.4,22.1,AS
18.0,Campy Russell,27.0,CLE,SF,74.0,,38.6,8.1,17.1,0.476,5.6,7.1,0.797,2.0,4.8,6.8,4.7,1.3,0.3,3.5,3.0,21.9,AS
19.0,Elvin Hayes,33.0,WSB,PF,82.0,,37.9,8.8,18.0,0.487,4.3,6.5,0.654,3.8,8.3,12.1,1.7,0.9,2.3,2.9,3.8,21.8,"MVP-3,AS,NBA1"
20.0,Otis Birdsong,23.0,KCK,SG,82.0,82.0,34.6,9.0,17.8,0.509,3.6,5.0,0.725,2.1,2.2,4.3,3.4,1.5,0.2,2.4,3.1,21.7,AS
21.0,Bernard King,22.0,NJN,SF,82.0,,34.9,8.7,16.6,0.522,4.3,7.5,0.564,3.1,5.1,8.2,3.6,1.4,0.5,3.9,4.0,21.6,
22.0,Truck Robinson,27.0,2TM,PF,69.0,,36.8,8.2,16.7,0.491,4.7,6.7,0.701,2.8,8.8,11.6,1.6,0.7,1.1,3.4,3.0,21.1,
23.0,Spencer Haywood,29.0,2TM,PF,68.0,18.0,34.7,8.8,17.7,0.494,3.4,4.3,0.791,2.5,5.3,7.8,1.9,0.6,1.2,2.9,3.5,20.9,
24.0,Randy Smith,30.0,SDC,SG,82.0,82.0,37.9,8.5,18.6,0.455,3.6,4.4,0.813,1.2,2.4,3.6,4.8,2.2,0.1,3.1,2.2,20.5,
25.0,Bob Dandridge,31.0,WSB,SF,78.0,,33.7,8.1,16.2,0.499,4.2,5.1,0.825,1.4,4.3,5.7,4.7,0.9,0.7,2.8,3.3,20.4,"MVP-5,AS,NBA2"
26.0,Maurice Lucas,26.0,POR,PF,69.0,,35.7,8.2,17.5,0.47,3.9,5.0,0.783,2.8,7.6,10.4,3.1,1.0,1.2,3.4,3.7,20.4,AS
27.0,Calvin Murphy,30.0,HOU,PG,82.0,,35.9,8.6,17.4,0.496,3.0,3.2,0.928,1.0,1.2,2.1,4.3,1.4,0.1,2.3,3.5,20.2,AS
28.0,Phil Smith,26.0,GSW,SG,59.0,,38.8,8.3,16.6,0.501,3.3,4.3,0.761,0.8,2.8,3.6,4.4,1.7,0.4,2.9,2.7,19.9,
29.0,Brian Winters,26.0,MIL,SG,79.0,,32.6,8.4,17.0,0.493,3.0,3.5,0.856,0.6,1.6,2.2,4.8,1.1,0.5,3.3,3.1,19.8,
31.0,Gus Williams,25.0,SEA,PG,76.0,,29.8,8.0,16.1,0.495,3.2,4.2,0.775,1.5,1.8,3.2,4.0,2.1,0.4,2.5,2.1,19.2,
32.0,Cedric Maxwell,23.0,BOS,SF,80.0,,37.1,5.9,10.1,0.584,7.2,9.0,0.802,3.4,6.5,9.9,2.9,1.2,0.9,3.4,3.3,19.0,
33.0,Rudy Tomjanovich,30.0,HOU,PF,74.0,,35.7,8.4,16.2,0.517,2.3,3.0,0.76,2.3,5.4,7.7,1.9,0.6,0.2,1.9,2.5,19.0,AS
34.0,M.L. Carr,28.0,DET,SF,80.0,,40.1,7.3,14.3,0.514,4.0,5.4,0.743,2.7,4.6,7.4,3.3,2.5,0.6,3.2,3.5,18.7,
